destination_wallet,valid_stamps_count,tx_count,contributor_count,stamp_holders_tx,amount_usd_total,holders_ratio,amount_per_contributor,round
0x23DBBF0FFD28Bf754FDC1E52f302b81303C211B0,106.0,56,56,43.0,68.14200067,0.7678571428571429,1.2168214405357143,gr15
0x23aDa6E6A9E9D4EcDDd185e3ec353163BCeeBF2a,1397.0,458,458,429.0,2108.251336220605,0.9366812227074236,4.6031688563768665,gr15
0x242ba6d68FfEb4a098B591B32d370F973FF882B7,76.0,148,148,134.0,2652.582264977966,0.9054054054054054,17.922853141743015,gr15
0x2443871804c69ad7f5fac76c766225ec6f4e541f,5324.0,1915,1915,586.0,485.58330134068996,0.3060052219321149,0.25356830357216187,fantom
0x2457d9f4Ca7591E8f1cE46765D7302e62F96727D,196.0,159,159,128.0,306.73258463439987,0.8050314465408805,1.9291357524176092,gr15
0x245Bd6B5D8f494df8256Ae44737A1e5D59769aB4,18.0,14,14,12.0,35.85625328925,0.8571428571428571,2.5611609492321428,gr15
0x24801de57F065d95D741DFf0f419dc5004777C87,0.0,26,26,26.0,31.304583290000004,1.0,1.2040224342307693,gr15
0x249bcB169e91a7A64a13262d705095ad3b95FC46,84.0,132,132,104.0,773.910421591389,0.7878787878787878,5.862957739328705,gr15
0x24c492413fCfd5a8370F43f69205563C3D39Cc5d,14.0,60,60,47.0,1000.6164943299999,0.7833333333333333,16.676941572166665,gr15
0x2604AB91d49106EE861BbC2B6718A4EC25318fae,48.0,226,226,208.0,1636.3197111193733,0.9203539823008849,7.240352704068023,gr15
0x264E467841f02DC85e60d39E103BF1831243aC06,0.0,21,21,13.0,364.065720935,0.6190476190476191,17.336462901666668,gr15
0x26a74e056EB4E3607792DCd87070E468878d14E9,182.0,129,129,124.0,346.49334112500003,0.9612403100775194,2.685994892441861,gr15
0x2755213c8435f15d9929101357686a9c1bec280a,4324.0,2212,2212,449.0,1696.69269851028,0.20298372513562388,0.7670400987840326,fantom
0x27cC10039ccC07B97d4E7E54143C53a01c4EB495,0.0,11,11,8.0,564.9460653343118,0.7272727272727273,51.35873321221016,gr15
